"File","WER","Time","Hyp","Ref"
"LJ001-0001","0","1.1","Printing, in the only sense with which we are at present concerned, differs from most, If not from all the arts and crafts represented in the exhibition.","WER: 0.0%"
"LJ001-0002","0","0.2","In being comparatively modern.","WER: 0.0%"
"LJ001-0003","8.3","1.1","For although the Chinese took impressions from wood blocks, engraved in relief for centuries before the wood cutters of the Netherlands by a similar process.","WER: 8.3%"
"LJ001-0004","0","0.6","Produced the block books, which were the immediate predecessors of the true printed book.","WER: 0.0%"
"LJ001-0005","4","0.9","The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.","WER: 4.0%"
"LJ001-0006","7.1","0.6","And it is worth mention in passing that has an example of fine typography.","WER: 7.1%"
"LJ001-0007","17.6","1","The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.","WER: 17.6%"
"LJ001-0008","0","0.2","Has never been surpassed.","WER: 0.0%"
"LJ001-0009","0","0.8","Printing then, for our purpose, may be considered as the art of making books by means of movable types.","WER: 0.0%"
"LJ001-0010","11.1","1","Now, as all books, not primarily intended as picture books, consist principally of types composed to form letter press.","WER: 11.1%"
"LJ001-0011","0","0.5","It is of the first importance that the letter used should be fine in form.","WER: 0.0%"
"LJ001-0012","0","1","Especially as no more time is occupied or cost incurred in casting, setting or printing beautiful letters.","WER: 0.0%"
"LJ001-0013","12.5","0.3","And in the same operations with ugly ones.","WER: 12.5%"
"LJ001-0014","0","1.2","And it was a matter, of course, that in the Middle Ages, when the craftsmen took care, that beautiful form should always be a part of their productions, whatever they were.","WER: 0.0%"
"LJ001-0015","0","1.1","The forms of printed letters should be beautiful and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.","WER: 0.0%"
"LJ001-0016","0","0.6","The Middle ages brought calligraphy to perfection, and it was natural, therefore.","WER: 0.0%"
"LJ001-0017","0","0.8","That the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.","WER: 0.0%"
"LJ001-0018","0","0.8","The first books were printed in black letter, I.e. the letter, which was a gothic development of the ancient Roman character.","WER: 0.0%"
"LJ001-0019","0","0.7","And which developed more completely and satisfactorily on the side of the lower case than the capital letters.","WER: 0.0%"
"LJ001-0020","0","0.5","The lower case being, in fact, invented in the early Middle ages.","WER: 0.0%"
"LJ001-0021","0","1","The earliest book printed with movable type. The aforesaid Gutenberg Bible is printed in letters, which are an exact imitation.","WER: 0.0%"
"LJ001-0022","5.6","0.9","Of the more formal ecclesiastical writing, which obtained at that time, this has since been called Misslet type.","WER: 5.6%"
"LJ001-0023","21.7","1","And was, in fact, the kind of letter used in the many splendid missiles, Sters, et cetera, produced by printing in the 15th century.","WER: 21.7%"
"LJ001-0024","10.5","0.9","But the first Bible actually dated, which also was printed at mates by Peter Schuffur in the year 1462.","WER: 10.5%"
"LJ001-0025","5.6","1","Imitates a much freer hand, Sr, rounder and less spiky, and therefore far pleasanter and easier to read.","WER: 5.6%"
"LJ001-0026","16.7","0.7","On the whole, the type of this book may be considered the Nalu U of Gothic type.","WER: 16.7%"
"LJ001-0027","12.5","1.1","Especially as regards the lower case letters and type very similar, was used during the next 15 or 20 years, not only by chauffeur.","WER: 12.5%"
"LJ001-0028","18.2","0.7","But by printers in Strasbourg, Basil, Paris, Lubeck and other cities.","WER: 18.2%"
"LJ001-0029","0","0.6","But though, on the whole, except in Italy, Gothic letter was most often used.","WER: 0.0%"
"LJ001-0030","0","0.8","A very few years saw the birth of Roman character, not only in Italy, but in Germany and France.","WER: 0.0%"
"LJ001-0031","21.4","0.9","In 1465, Swainheim and Panarchs began printing in the monastery of Sbiiaco near Rome.","WER: 21.4%"
"LJ001-0032","0","0.8","And used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman.","WER: 0.0%"
"LJ001-0033","27.8","0.8","But which must certainly have come from the study of the 12th or even the 11th century M, S S.","WER: 27.8%"
"LJ001-0034","4.3","1","They printed very few books in this type,3, only, but in their very first books in Rome, beginning with the year 1468.","WER: 4.3%"
"LJ001-0035","0","0.6","They discarded this for a more completely Roman and far less beautiful letter.","WER: 0.0%"
"LJ001-0036","11.1","0.9","But about the same year, Menallin at Strasburgurg began to print in a type which is distinctly Roman.","WER: 11.1%"
"LJ001-0037","10","0.5","And the next year, Gunther Zener at Augsburg followed suit.","WER: 10.0%"
"LJ001-0038","9.1","1.1","While in 1470 at Paris, Udoic Gerring and his associates turned out the first books printed in France, also in Roman character.","WER: 9.1%"
"LJ001-0039","0","0.4","The Roman type of all these printers is similar in character.","WER: 0.0%"
"LJ001-0040","0","0.8","And is very simple and legible and unaffectedly designed for use. But it is by no means without beauty.","WER: 0.0%"
"LJ001-0041","6.2","0.6","It must be said that it is in no way like the transition type of subbiiaco.","WER: 6.2%"
"LJ001-0042","0","0.7","And though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome.","WER: 0.0%"
"LJ001-0043","0","0.4","A further development of the Roman letter took place at Venice.","WER: 0.0%"
"LJ001-0044","23.5","0.9","John ofpires and his brother, Vendolyn, followed by Nicholas Jensen, began to print in that city.","WER: 23.5%"
"LJ001-0045","0","0.4","1469,1470.","WER: 0.0%"
"LJ001-0046","0","0.6","Their type is on the lines of the German and French, rather than of the Roman printers.","WER: 0.0%"
"LJ001-0047","5","0.7","Of Jensen, it must be said that he carried the development of Roman type as far as it can go.","WER: 5.0%"
"LJ001-0048","0","0.7","His letter is admirably clear and regular, but at least as beautiful as any other Roman type.","WER: 0.0%"
"LJ001-0049","10.5","0.8","After his death in the 1480s or at least by 1490, printing in Venice had declined very much.","WER: 10.5%"
"LJ001-0050","14.3","1","And though the famous family of Al this restored its technical excellence, rejecting battered letters.","WER: 14.3%"
"LJ001-0051","15.4","0.6","And paying great attention to the presswork or actual process of printing.","WER: 15.4%"
"LJ001-0052","12.5","0.7","Yet their type is artistically on a much lower level than Jensens. and, in fact.","WER: 12.5%"
"LJ001-0053","0","0.5","They must be considered to have ended the age of fine printing in Italy.","WER: 0.0%"
"LJ001-0054","11.1","0.5","Gensen, however, had many contemporaries who used beautiful type.","WER: 11.1%"
"LJ001-0055","15.8","1.1","Some of which, as E G, that of Jacobs Rubius or Jacques La Rouge, is scarcely distinguishable from his.","WER: 15.8%"
"LJ001-0056","0","0.6","It was these great Venetian printers together with their brethren of Rome, Milan.","WER: 0.0%"
"LJ001-0057","3.7","1","Pama and one or two other cities who produced the splendid editions of the classics, which are one of the great glories of the printer's art.","WER: 3.7%"
"LJ001-0058","0","0.8","And are worthy representatives of the eager enthusiasm for the revived learning of that epoch, by far.","WER: 0.0%"
"LJ001-0059","0","1","The greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen working under the influence of Italian opinion and aims.","WER: 0.0%"
"LJ001-0060","10.5","0.8","It must be understood that through the whole of the 15th and the first quarter of the 16th centuries.","WER: 10.5%"
"LJ001-0061","0","0.4","The Roman letter was used side by side, with the Gothic.","WER: 0.0%"
"LJ001-0062","0","0.6","Even in Italy, most of the theological and law books were printed in Gothic letter.","WER: 0.0%"
"LJ001-0063","0","0.5","Which was generally more formally gothic than the printing of the German workmen.","WER: 0.0%"
"LJ001-0064","6.2","0.7","Many of whose types, indeed, like that of the soiaacco works, are of a transitional character.","WER: 6.2%"
"LJ001-0065","5","0.9","This was notably the case with the early works printed at Om and in a somewhat lesser degree at Augsburg.","WER: 5.0%"
"LJ001-0066","18.2","1.1","In fact, Gunther Zeer's first type afterwards used by Schusler is remarkably like the type of the before mentioneded Sbiiaco books.","WER: 18.2%"
"LJ001-0067","0","0.8","In the low countries and Cologne, which were very fertile of printed books, Gothic was the favorite.","WER: 0.0%"
"LJ001-0068","5.6","1","The characteristic Dutch type, as represented by the excellent printer, Gerard Liu, is very pronounced and uncompromising Gothic.","WER: 5.6%"
"LJ001-0069","23.1","0.6","This type was introduced into England by Winkin Deward, Caxton's successor.","WER: 23.1%"
"LJ001-0070","15","0.9","And was used there with very little variation all through the 16th and 17th centuries. and indeed, into the 18th.","WER: 15.0%"
"LJ001-0071","0","0.8","Most of Caxton's own types are of an earlier character, though they also much resemble Flemish or cologne letter.","WER: 0.0%"
"LJ001-0072","6.2","0.8","After the end of the 15th century, the degradation of printing, especially in Germany and Italy.","WER: 6.2%"
"LJ001-0073","16.7","0.8","Went on a pace. And by the end of the 16th century, there was no really beautiful printing done.","WER: 16.7%"
"LJ001-0074","0","0.7","The best, mostly French or low country was neat and clear, but without any distinction.","WER: 0.0%"
"LJ001-0075","5.3","0.8","The worst, which perhaps was the English, was a terrible falling off from the work of the earlier presss.","WER: 5.3%"
